Year,FtM,MtF,FtX,MtX,crossdressers,NB_total,transmasc_total,transfemme_total,NB_percentage_of_transmascs,NB_percentage_of_transfemmes
2015,29,33,28,7,3,35,57,40,49.1,17.5
2022,25,35,30,8,2,38,55,43,54.5,18.6
